FE,1113.74995315907,143.546493603517,-
TS:5346078.12369817,X:409.986187327255,Y:676.456996998198
TS:5346089.96740972,X:409.670105647747,Y:676.464975334634
FS,406.95364507409,677.203088905314,-
TS:5346100.26130185,X:409.292643744591,Y:676.574213198721
DF,407.070306600526,676.510589437017,-
TS:5346111.39440278,X:408.896590249579,Y:676.371479694189
DF,407.84533863659,676.62436509818,-
TS:5346123.35826005,X:409.10170641042,Y:676.520879583833
DF,407.647828577717,677.520233309416,-
TS:5346141.64335196,X:407.85141570617,Y:678.441082405719
DF,407.481946205086,677.961797576301,-
TS:5346147.3052945,X:407.788860247695,Y:678.521727102195
DF,406.571321792449,678.846118592469,-
TS:5346163.37825616,X:406.398732442286,Y:679.428086409456
TS:5346169.00638885,X:406.192135104452,Y:679.023758364431
DF,405.865631092472,677.870194023247,-
DF,405.692710662103,677.789652034939,-
TS:5346178.24734562,X:406.082667054985,Y:678.72350154794
DF,406.514090469045,677.345636165702,-
TS:5346189.89966927,X:406.870623183117,Y:677.840534766696
DF,399.773104932176,681.104987234629,-
TS:5346200.27748228,X:405.73917127162,Y:676.978653585819
DF,386.611937470052,684.720595866754,-
FE,360.289602545805,691.951813131004,-
TIME,-,-,00:00:00.0529885
TS:5346211.49027786,X:405.445007489758,Y:677.587322551372
TS:5346223.3696105,X:382.334300201715,Y:686.825937823809
TS:5346233.3863826,X:375.658273991037,Y:688.728153273204
TS:5346244.8316209,X:319.426870835794,Y:696.255480005015
TS:5346256.56907292,X:287.875879282608,Y:700.662674619193
FS,91.046645186668,727.598016455143,-
DF,92.671943812407,728.032905979494,-
TS:5346266.73919685,X:242.017539647571,Y:707.504175188246
DF,92.3542654890112,729.104172259722,-
TS:5346278.02927209,X:215.185441603608,Y:711.785643664397
DF,92.9860057157239,730.079042924785,-
TS:5346289.90920847,X:194.659313150625,Y:715.306673935865
DF,93.6928249028368,729.4315685038,-
TS:5346300.10831227,X:154.970978888226,Y:720.637926035558
DF,94.1376904525849,728.861093346046,-
TS:5346311.32231535,X:93.0860971922508,Y:729.038263472504
DF,96.9260157041388,729.046086461517,-
TS:5346323.26141898,X:95.7174803197956,Y:729.086893143648
DF,98.4432535430001,729.704824070509,-
TS:5346333.976123,X:94.9846404014336,Y:729.863506807133
DF,101.154874671012,730.540509239901,-
